Date,Rub_Exchange_Rate
2023-07-03,95.53922333193174
2020-03-22,71.782187081564
2023-11-26,98.44722893588522
2022-10-30,90.7496990753648
2023-03-18,92.96597291522698
2020-04-21,72.68730049221485
2023-07-20,95.66794665796462
2022-03-10,85.8251637145728
2022-10-01,90.30397693222643
2021-03-04,78.41332403469556
2023-07-09,95.99999918306906
2021-10-30,83.69093608557495
2020-11-06,76.31978166576863
2021-09-05,81.87332689000363
2021-03-15,78.89784495326461
2023-06-28,95.36710056494788
2023-11-15,98.54178755276499
2023-03-28,93.72324960343418
2021-03-14,78.79409660899802
2022-07-21,88.89448722652656
2024-02-18,100.10727389747187
2022-11-07,90.92589685297588
2021-02-24,78.51180180916914
2020-12-19,76.82764095567107
2021-03-29,79.20273204870387
2022-09-03,89.6345079118132
2022-11-23,92.43410699346205
2021-10-05,82.9165205604987
2021-09-23,82.62695643539536
2021-11-24,83.91254356332355
2024-02-10,100.17003520322497
2023-04-23,94.26210454207626
2023-02-25,93.07172736935311
2020-09-11,74.80599602121113
2020-11-18,76.39920857493962
2023-09-24,97.41816032723356
2021-03-05,78.61694551895846
2021-07-24,81.26331590241253
2023-06-12,95.32802603902648
2022-05-11,86.98413893560871
2020-12-16,77.21885120890286
2020-12-18,77.26336321586619
2020-03-27,71.20589264492753
2023-12-13,98.93718054183636
2020-09-22,75.57505751262235
2020-10-14,75.93302466706359
2024-02-14,100.02735377910491
2022-12-30,91.66715733286335
2023-02-19,92.80799979001658
2021-12-01,83.83549465815592
2021-03-08,78.71920320552856
2022-09-12,89.66324134549214
2020-08-09,74.66162477670969
2020-04-23,72.25500960196716
2021-08-08,81.63327259515553
2021-08-19,83.48585949697456
2020-06-23,73.3105272587691
2021-08-30,81.92696418650857
2021-03-27,79.16177831834045
2023-04-07,93.96285411722701
2020-01-19,70.22912508533089
2023-06-17,95.45036790054985
2020-10-12,75.66479752126895
2022-06-06,87.74332147829878
2022-10-28,90.8731876678261
2023-04-28,94.44764888964849
2020-02-01,70.22418301736366
2024-02-09,99.89164857149387
2020-07-29,74.34681078434926
2022-09-17,89.79670772349876
2023-07-28,95.44316106487385
2022-06-23,87.95908042706363
2023-04-03,93.9759386670759
2023-08-01,95.71564237944207
2022-11-18,90.78966856277721
2021-04-26,79.67782657105877
2020-07-07,73.63699867002339
2023-07-11,95.8229231136108
2023-01-05,92.04182530762829
2021-05-28,80.82039757216499
2021-04-30,79.61947641825918
2023-12-11,98.86806575860831
2022-07-11,88.7047540322723
2020-03-24,71.73589717155876
2024-02-21,98.32728352807568
2020-02-18,71.17966322904601
2024-02-26,100.25460157800778
2020-06-04,72.87946143172407
2021-06-22,80.83501601560992
2023-03-02,93.11625843278375
2021-09-13,82.32381498806416
2023-04-26,94.3515646253809
2022-04-06,86.36231682041624
2023-06-01,94.90546418853552
2024-02-11,99.91234655291527
2022-07-26,88.78466572548365
2020-06-28,73.57797989187097
2023-05-24,94.69496909944667
2023-06-19,95.30764313733862
2021-10-26,83.36264597730136
2021-06-12,80.63459211317127
2023-08-11,96.4365605819166
2020-12-29,77.50811794044947
2023-04-08,93.76818386697268
2023-05-02,94.45548962872806
2020-12-12,77.49068286462287
2021-12-11,84.37342641930924
2021-06-13,80.80260023303258
2022-02-20,85.81292206808838
2023-08-05,96.5416128006095
2021-08-25,82.00807670002008
2021-09-11,82.99432259931832
2024-01-15,99.63577900000784
2020-08-31,74.74008910296132
2022-04-18,86.59720580915489
2021-07-05,81.06556259887391
2022-05-24,87.47552964482166
2023-01-02,91.87270788807093
2022-04-24,87.01722561018255
2023-12-12,98.78030242162286
2023-01-21,92.53290782522423
2020-11-04,76.16864854470417
2023-03-19,93.56265912924712
2021-02-02,78.20281741784794
2021-02-27,78.3947274108411
2021-01-05,77.48153101024118
2020-02-24,71.1605782593329
2024-01-18,99.79562733910471
2021-08-05,81.65545994088592
2020-11-08,76.33774467020449
2022-07-31,88.95194143313947
2023-04-11,93.51450212148606
2020-04-19,71.74941355390537
2022-03-22,85.91982817420971
2021-12-08,84.36016382913685
2020-04-10,71.6956546876951
2024-01-28,99.6473449863255
2023-04-04,94.02066909414597
2024-02-17,100.41238609571826
2020-09-23,75.3240666653131
2021-11-25,83.71550231697155
2020-10-23,75.90629688414391
2024-01-30,100.12231351299558
2022-08-23,89.31274410996848
2021-12-15,84.29944471801961
2023-03-11,93.16546810374206
2021-01-12,77.56317108254478
2020-10-13,75.76129919167424
2023-12-31,98.67488740582682
2022-01-16,84.90870065492979
2020-05-06,72.49255312929346
2020-11-23,76.97459034359588
2020-10-19,76.1330504027284
2021-07-15,81.3139522112418
2022-01-13,84.86374907153359
2021-06-10,82.47333730770563
2020-12-21,77.25730810168906
2023-05-22,94.65949991432163
2020-06-19,73.37698146822198
2022-05-12,87.4343861800353
2021-09-28,82.76128134556825
2023-11-01,97.77040423814591
2020-07-28,74.2880526379638
2021-09-07,82.35236399256196
2021-06-16,80.65629566847733
2020-05-20,72.66781274228921
2023-01-01,91.90741346187673
2023-01-13,92.2191018690738
2022-10-19,90.44502472743055
2023-04-20,94.13453825814095
2023-12-16,100.93285124254525
2023-03-14,93.41187956511004
2023-03-24,93.3082897679845
2020-07-18,73.65951754807328
2022-06-29,88.17952458058033
2023-05-17,94.52939105574515
2021-12-25,84.69722947010969
2022-07-27,89.1581867808091
2021-09-09,82.66791103287288
2020-01-11,69.90686265417895
2020-05-27,73.18115007429903
2023-03-25,93.90079661178947
2020-10-09,75.49084980470735
2020-10-25,76.15666194634582
2023-06-16,95.20385755908602
2020-10-18,76.20848440426583
2022-12-25,91.36205024004228
2021-09-03,82.19754721231213
2022-11-21,91.33918219262615
2022-05-31,87.70599309217903
2021-09-20,82.55625838398352
2020-05-09,72.64696219922828
2023-11-13,98.402365944417
2020-11-27,76.69829868991418
2020-11-19,76.20471121635107
2023-01-10,92.10028168927985
2022-07-06,88.40522692429569
2023-05-28,94.62716831913077
2020-05-15,72.47418919671453
2023-11-19,98.18374958155259
2023-01-15,92.0477380611272
2022-01-11,84.58297778261769
2021-03-11,78.51060210430566
2021-11-05,83.40744504661826
2021-11-03,83.16811194341021
2021-11-11,83.65431794543089
2023-09-07,97.11001070181727
2020-06-07,73.26894168110306
2021-08-11,82.06048498785528
2020-07-14,74.12326331960514
2023-06-13,95.15277393128882
2023-09-06,96.99771299398078
2021-02-14,78.45216287248
2020-04-06,72.24780461897767
2021-08-20,81.98622545967794
2020-06-05,72.49156899954956
2021-02-23,78.53886920024708
2021-10-16,83.08594718851488
2021-04-22,79.94023930905779
2021-09-26,82.72584194494993
2021-10-23,82.89195447914375
2023-05-01,94.46627527612246
2021-03-23,79.14444930187048
2020-06-27,73.86282648514927
2021-01-25,77.79986899277242
2023-08-02,96.24033545779152
2023-12-29,99.02719171399187
2023-06-14,95.23992821482274
2021-09-10,82.35137352951374
2022-09-11,89.54812238859475
2021-10-11,82.98723506001711
2022-06-19,88.12344354020512
2022-03-17,86.00366413235083
2022-11-15,91.18494875803721
2021-11-01,83.54741904768879
2020-10-21,75.84866755800091
2023-09-21,97.20786298121433
2022-11-08,89.91323596610121
2020-03-29,71.51836931030519
2022-09-25,89.48905760412639
2022-08-08,88.88411856217832
2021-08-12,82.0145800094018
2022-11-02,90.73495922964467
2023-11-09,98.1457548397854
2021-12-13,84.30171001286581
2022-08-22,89.09766506875894
2020-10-17,75.73936697679285
2023-12-10,98.76957579336838
2023-07-29,96.40150127511616
2020-12-14,76.66364763584879
2023-01-17,91.69377090167397
2023-12-04,98.76012623334776
2021-12-07,84.47352558989692
2022-04-27,87.40920984409203
2021-09-21,82.65359952519842
2021-04-03,79.25649753581527
2021-01-10,77.22044581593433
2020-11-29,76.63469140525545
2022-02-13,85.55535470632887
2023-09-05,96.65419350788075
2021-12-28,84.71797618733085
2023-11-11,98.34730545371855
2023-09-19,97.1927425444311
2020-11-24,76.57585355031264
2020-11-14,76.28278979389262
